city,country,population,lat,lng
Jaipur,India,2917000.0,26.9211,75.81
Taiyuan,China,2913000.0,37.875,112.5451
Frankfurt,Germany,2895000.0,50.1,8.675
Qingdao,China,2866000.0,36.09,120.33
Surabaya,Indonesia,2845000.0,-7.2492,112.7508
Lisbon,Portugal,2812000.0,38.7227,-9.1449
Tampa,United States,2804240.0,27.9942,-82.4451
Jinan,China,2798000.0,36.675,116.995
Fukuoka,Japan,2792000.0,33.595,130.41
Campinas,Brazil,2791000.0,-22.9,-47.1
Denver,United States,2787266.0,39.7621,-104.8759
Kaohsiung,Taiwan,2769072.0,22.6333,120.2666
Quezon City,Philippines,2761720.0,14.6504,121.03
Katowice,Poland,2746000.0,50.2604,19.02
Aleppo,Syria,2738000.0,36.23,37.17
Durban,South Africa,2729000.0,-29.865,30.98
Kyiv,Ukraine,2709000.0,50.4334,30.5166
Lucknow,India,2695000.0,26.855,80.915
Giza,Egypt,2681863.0,30.01,31.19
Zhengzhou,China,2636000.0,34.755,113.6651
Taichung,Taiwan,2629323.0,24.1521,120.6817
Brooklyn,United States,2629150.0,40.6501,-73.9496
Ibadan,Nigeria,2628000.0,7.38,3.93
Faisalabad,Pakistan,2617000.0,31.41,73.11
Fuzhou,China,2606000.0,26.08,119.3
Changsha,China,2604000.0,28.2,112.97
Dakar,Senegal,2604000.0,14.7158,-17.4731
İzmir,Turkey,2587000.0,38.4361,27.1518
Xiangtan,China,2586948.0,27.8504,112.9
Lanzhou,China,2561000.0,36.056,103.792
Incheon,"Korea, South",2550000.0,37.4761,126.6422
Sapporo,Japan,2544000.0,43.075,141.34
Xiamen,China,2519000.0,24.45,118.08
Guayaquil,Ecuador,2514000.0,-2.22,-79.92
George Town,Malaysia,2500000.0,5.4136,100.3294
Mashhad,Iran,2469000.0,36.27,59.57
Damascus,Syria,2466000.0,33.5,36.3
Daegu,"Korea, South",2460000.0,35.8668,128.607
Nāgpur,India,2454000.0,21.17,79.09
Lianshan,China,2426000.0,40.7503,120.83
Shijiazhuang,China,2417000.0,38.05,114.48
Tunis,Tunisia,2412500.0,36.8028,10.1797
Vienna,Austria,2400000.0,48.2,16.3666
Jilin,China,2396000.0,43.85,126.55
Omdurman,Sudan,2395159.0,15.6167,32.48
Bandung,Indonesia,2394000.0,-6.95,107.57
Bekasi,Indonesia,2378211.0,-6.2173,106.9723
Mannheim,Germany,2362000.0,49.5004,8.47
Nanchang,China,2350000.0,28.68,115.88
Wenzhou,China,2350000.0,28.02,120.6501
Queens,United States,2333054.0,40.7498,-73.7976
Vancouver,Canada,2313328.0,49.2734,-123.1216
Birmingham,United Kingdom,2285000.0,52.475,-1.92
Cali,Colombia,2254000.0,3.4,-76.5
Naples,Italy,2250000.0,40.84,14.245
Sendai,Japan,2250000.0,38.2871,141.0217
Manchester,United Kingdom,2230000.0,53.5004,-2.248
Puebla,Mexico,2195000.0,19.05,-98.2
Tripoli,Libya,2189000.0,32.8925,13.18
Tashkent,Uzbekistan,2184000.0,41.3117,69.2949
Havana,Cuba,2174000.0,23.132,-82.3642
Gaoping,China,2174000.0,30.7804,106.13
Baltimore,United States,2170504.0,39.3051,-76.6144
Nanning,China,2167000.0,22.82,108.32
Belém,Brazil,2167000.0,-1.45,-48.48
Patna,India,2158000.0,25.625,85.13
Santo Domingo,Dominican Republic,2154000.0,18.4701,-69.9001
Ürümqi,China,2151000.0,43.805,87.575
Zaozhuang,China,2145000.0,34.88,117.57
Baku,Azerbaijan,2122300.0,40.3953,49.8622
Accra,Ghana,2121000.0,5.55,-0.2167
Yantai,China,2116000.0,37.5304,121.4
Medan,Indonesia,2115000.0,3.58,98.65
Santa Cruz,Bolivia,2102998.0,-17.7539,-63.226
Tongshan,China,2091000.0,34.28,117.18
Riverside,United States,2084749.0,33.9381,-117.3948
Linyi,China,2082000.0,35.08,118.33
St. Louis,United States,2078283.0,38.6358,-90.2451
Las Vegas,United States,2073045.0,36.2333,-115.2654
Maracaibo,Venezuela,2072000.0,10.73,-71.66
Kuwait City,Kuwait,2063000.0,29.3697,47.9783
Ad Dammām,Saudi Arabia,2054710.0,26.4282,50.0997
Portland,United States,2052796.0,45.5371,-122.65
Haikou,China,2046189.0,20.05,110.32
Hiroshima,Japan,2045000.0,34.3878,132.4429
Baotou,China,2036000.0,40.6522,109.822
Hefei,China,2035000.0,31.85,117.28
Indore,India,2026000.0,22.7151,75.865
Goiânia,Brazil,2022000.0,-16.72,-49.3
Sanaa,Yemen,2008000.0,15.3547,44.2066
San Antonio,United States,2002530.0,29.4658,-98.5254
Port-au-Prince,Haiti,1998000.0,18.541,-72.336
Haiphong,Vietnam,1969000.0,20.83,106.6801
Suzhou,China,1964000.0,33.6361,116.9789
Nanyang,China,1944000.0,33.0004,112.53
Bucharest,Romania,1942000.0,44.4334,26.0999
Ningbo,China,1923000.0,29.88,121.55
Douala,Cameroon,1906000.0,4.0604,9.71
Tangshan,China,1879000.0,39.6243,118.1944
Tainan,Taiwan,1876312.0,23.0,120.2
Xiping,China,1873000.0,40.08,113.3
Asunción,Paraguay,1870000.0,-25.2964,-57.6415
Saidu Sharif,Pakistan,1860310.0,34.75,72.35
Brisbane,Australia,1860000.0,-27.455,153.0351
Rawalpindi,Pakistan,1858000.0,33.6,73.04
Sacramento,United States,1854698.0,38.5667,-121.4683
Beirut,Lebanon,1846000.0,33.872,35.5097
San Jose,United States,1821899.0,37.3021,-121.8489
Minsk,Belarus,1805000.0,53.9,27.5666
Kyōto,Japan,1805000.0,35.03,135.75
Barranquilla,Colombia,1798000.0,10.96,-74.8
Orlando,United States,1776841.0,28.4772,-81.3369
Shuyangzha,China,1770000.0,34.1299,118.7734
Valencia,Venezuela,1770000.0,10.23,-67.98
Hamburg,Germany,1757000.0,53.55,10.0
Vadodara,India,1756000.0,22.31,73.18
Manaus,Brazil,1753000.0,-3.1,-60.0
Shangqiu,China,1753000.0,34.4504,115.65
Wuxi,China,1749000.0,31.58,120.3
Palembang,Indonesia,1749000.0,-2.98,104.75
Brussels,Belgium,1743000.0,50.8333,4.3333
Essen,Germany,1742135.0,51.45,7.0166
Cleveland,United States,1730363.0,41.4767,-81.6805
Bhopal,India,1727000.0,23.25,77.41
Hohhot,China,1726000.0,40.82,111.66
Pittsburgh,United States,1715297.0,40.4396,-79.9763
Luoyang,China,1715000.0,34.68,112.4701
Santos,Brazil,1709000.0,-23.9537,-46.3329
Jingling,China,1708000.0,30.6501,113.16
Warsaw,Poland,1707000.0,52.25,21.0
Rabat,Morocco,1705000.0,34.0253,-6.8361
Vitória,Brazil,1704000.0,-20.324,-40.366
Quito,Ecuador,1701000.0,-0.215,-78.5001
Antananarivo,Madagascar,1697000.0,-18.9166,47.5166
Coimbatore,India,1696000.0,11.0,76.95
Daqing,China,1693000.0,46.58,125.0
Lu’an,China,1690000.0,31.7503,116.48
Sanzhou,China,1680000.0,30.82,108.4
Budapest,Hungary,1679000.0,47.5,19.0833
Turin,Italy,1652000.0,45.0704,7.67
Suzhou,China,1650000.0,31.3005,120.62
Ludhiāna,India,1649000.0,30.9278,75.8723
Cincinnati,United States,1648254.0,39.1412,-84.506
Kumasi,Ghana,1646000.0,6.69,-1.63
Manhattan,United States,1643734.0,40.7834,-73.9662
Qiqihar,China,1641000.0,47.345,123.99
Anshan,China,1639000.0,41.115,122.94
Austin,United States,1638716.0,30.3006,-97.7517
Zhongli,Taiwan,1632616.0,24.965,121.2168
Handan,China,1631000.0,36.58,114.48
Tai’an,China,1629000.0,36.2,117.1201
Eşfahān,Iran,1628000.0,32.7,51.7
Kansas City,United States,1615621.0,39.1239,-94.5541
Yaoundé,Cameroon,1611000.0,3.8667,11.5167
Shantou,China,1601000.0,23.37,116.67
Āgra,India,1592000.0,27.1704,78.015
Zhanjiang,China,1590000.0,21.2,110.38
La Paz,Bolivia,1590000.0,-16.498,-68.15
Kalyān,India,1576614.0,19.2502,73.1602
Abuja,Nigeria,1576000.0,9.0833,7.5333
Harare,Zimbabwe,1572000.0,-17.8178,31.0447
Indianapolis,United States,1564699.0,39.7771,-86.1458
Xiantao,China,1556000.0,30.3704,113.44
Khulna,Bangladesh,1553000.0,22.84,89.56
Weifang,China,1553000.0,36.7204,119.1001
Tijuana,Mexico,1553000.0,32.5,-117.08
Santiago,Dominican Republic,1550753.0,19.5,-70.67
Xinyang,China,1541000.0,32.1304,114.07
Luzhou,China,1537000.0,28.88,105.38
Perth,Australia,1532000.0,-31.955,115.84
Toluca,Mexico,1531000.0,19.3304,-99.67
Vishākhapatnam,India,1529000.0,17.73,83.305
Leeds,United Kingdom,1529000.0,53.83,-1.58
Kōbe,Japan,1528478.0,34.68,135.17
Columbus,United States,1528314.0,39.986,-82.9851
Multan,Pakistan,1522000.0,30.2,71.455
Kochi,India,1519000.0,10.015,76.2239
Montevideo,Uruguay,1513000.0,-34.858,-56.1711
Gujranwala,Pakistan,1513000.0,32.1604,74.185
Niterói,Brazil,1500513.0,-22.9,-43.1
Ganzhou,China,1500000.0,25.92,114.95
Florence,Italy,1500000.0,43.78,11.25
Liuzhou,China,1497000.0,24.28,109.25
Bamako,Mali,1494000.0,12.65,-8.0
Conakry,Guinea,1494000.0,9.5315,-13.6802
Bursa,Turkey,1492000.0,40.2,29.07
León de los Aldama,Mexico,1488000.0,21.15,-101.7
Virginia Beach,United States,1480383.0,36.7335,-76.0435
Nāsik,India,1473000.0,20.0004,73.78
Fushun,China,1470000.0,41.8654,123.87
Changde,China,1469000.0,29.03,111.68
Daejeon,"Korea, South",1468000.0,36.3355,127.425
Charlotte,United States,1467362.0,35.2079,-80.8304
Phnom Penh,Cambodia,1466000.0,11.55,104.9166
Neijiang,China,1466000.0,29.5804,105.05
Quanzhou,China,1463000.0,24.9,118.58
Kharkiv,Ukraine,1461000.0,50.0,36.25
Hyderabad City,Pakistan,1459000.0,25.38,68.375
Bronx,United States,1455720.0,40.8501,-73.8662
Lomé,Togo,1452000.0,6.1319,1.2228
Córdoba,Argentina,1452000.0,-31.4,-64.1823
Huainan,China,1451000.0,32.63,116.98
Doha,Qatar,1450000.0,25.2866,51.533
Kuala Lumpur,Malaysia,1448000.0,3.1667,101.7
Maputo,Mozambique,1446000.0,-25.9553,32.5892
Kaduna,Nigeria,1442000.0,10.52,7.44
Gwangju,"Korea, South",1440000.0,35.171,126.9104
Kawanakajima,Japan,1437266.0,35.53,139.705
San Salvador,El Salvador,1433000.0,13.71,-89.203
Suining,China,1425000.0,30.5333,105.5333
Lyon,France,1423000.0,45.77,4.83
Karaj,Iran,1423000.0,35.8004,50.97
Kampala,Uganda,1420000.0,0.3167,32.5833
Tabrīz,Iran,1413000.0,38.0863,46.3012
The Hague,Netherlands,1406000.0,52.08,4.27
Davao,Philippines,1402000.0,7.11,125.63
Marseille,France,1400000.0,43.29,5.375
Meerut,India,1398000.0,29.0004,77.7
Mianyang,China,1396000.0,31.47,104.77
Semarang,Indonesia,1396000.0,-6.9666,110.42
Farīdābād,India,1394000.0,28.4333,77.3167
Novosibirsk,Russia,1389000.0,55.03,82.96
Mecca,Saudi Arabia,1385000.0,21.43,39.82
Dubai,United Arab Emirates,1379000.0,25.23,55.28
Milwaukee,United States,1377808.0,43.0642,-87.9673
Auckland,New Zealand,1377200.0,-36.8481,174.763
Ma’anshan,China,1366302.0,31.7304,118.48
Brazzaville,Congo (Brazzaville),1355000.0,-4.2592,15.2847
Yiyang,China,1352000.0,28.6004,112.33
Vārānasi,India,1352000.0,25.33,83.0
Lubumbashi,Congo (Kinshasa),1352000.0,-11.68,27.48
Juárez,Mexico,1343000.0,31.6904,-106.49
Ghāziābād,India,1341000.0,28.6604,77.4084
Pretoria,South Africa,1338000.0,-25.7069,28.2294
Heze,China,1338000.0,35.23,115.45
Porto,Portugal,1337000.0,41.15,-8.62
Āsansol,India,1328000.0,23.6833,86.9833
Lusaka,Zambia,1328000.0,-15.4166,28.2833
Changzhou,China,1327000.0,31.78,119.97
Mosul,Iraq,1316000.0,36.345,43.145
Yekaterinburg,Russia,1313000.0,56.85,60.6
Peshawar,Pakistan,1303000.0,34.005,71.535
Mandalay,Burma,1300000.0,21.97,96.085
Jamshedpur,India,1300000.0,22.7875,86.1975
Mbuji-Mayi,Congo (Kinshasa),1295000.0,-6.15,23.6
Madura,India,1294000.0,9.92,78.12
Adana,Turkey,1293000.0,36.995,35.32
Sheffield,United Kingdom,1292900.0,53.3667,-1.5
Jabalpur,India,1285000.0,23.1751,79.9551
San José,Costa Rica,1284000.0,9.935,-84.0841
Panama City,Panama,1281000.0,8.968,-79.533
Nizhniy Novgorod,Russia,1278000.0,56.333,44.0001
Chifeng,China,1277000.0,42.27,118.95
Duisburg,Germany,1276757.0,51.43,6.75
Munich,Germany,1275000.0,48.1299,11.575
Huaiyin,China,1264000.0,33.58,119.03
Stockholm,Sweden,1264000.0,59.3508,18.0973
Makassar,Indonesia,1262000.0,-5.14,119.432
Rājkot,India,1260000.0,22.31,70.8
Dhanbād,India,1246000.0,23.8004,86.42
Mudanjiang,China,1244000.0,44.575,129.59
Geneva,Switzerland,1240000.0,46.21,6.14
Shīrāz,Iran,1240000.0,29.63,52.57
Huzhou,China,1231000.0,30.8704,120.1
Beidao,China,1225000.0,34.6,105.92
Shuangshui,China,1221000.0,26.5944,104.8333
Düsseldorf,Germany,1220000.0,51.2204,6.78
Gaozhou,China,1217715.0,21.9204,110.87
Sevilla,Spain,1212045.0,37.405,-5.98
Amritsar,India,1212000.0,31.64,74.87
Vila Velha,Brazil,1209091.0,-20.3676,-40.318
Vila Velha,Brazil,1209091.0,3.2167,-51.2167
Almaty,Kazakhstan,1209000.0,43.325,76.915
Providence,United States,1206642.0,41.823,-71.4187
Warangal,India,1203853.0,18.01,79.58
Rosario,Argentina,1203000.0,-32.9511,-60.6663
Allahābād,India,1201000.0,25.455,81.84
Benin City,Nigeria,1190000.0,6.3405,5.62
Jining,China,1186000.0,35.4004,116.55
Maceió,Brazil,1186000.0,-9.62,-35.73
Sofia,Bulgaria,1185000.0,42.6833,23.3167
Abbottabad,Pakistan,1183647.0,34.1495,73.1995
Benghazi,Libya,1180000.0,32.1167,20.0667
Cilacap,Indonesia,1174964.0,-7.7188,109.0154
Prague,Czechia,1162000.0,50.0833,14.466
Glasgow,United Kingdom,1160000.0,55.8744,-4.2507
Leshan,China,1157000.0,29.5671,103.7333
Jacksonville,United States,1156291.0,30.3322,-81.6749
Ouagadougou,Burkina Faso,1149000.0,12.3703,-1.5247
Ottawa,Canada,1145000.0,45.4167,-75.7
Adelaide,Australia,1145000.0,-34.935,138.6
Shangrao,China,1144577.0,28.4704,117.97
Torreón,Mexico,1144000.0,25.5701,-103.42
Srīnagar,India,1140000.0,34.1,74.815
Bezwāda,India,1137000.0,16.52,80.63
Samara,Russia,1137000.0,53.195,50.1513
Omsk,Russia,1135000.0,54.99,73.4
Newcastle,Australia,1134616.0,-32.8453,151.815
Yulin,China,1127000.0,22.63,110.15
Namp’o,"Korea, North",1127000.0,38.7669,125.4524
Xianyang,China,1126000.0,34.3456,108.7147
Cagayan de Oro,Philippines,1121561.0,8.4508,124.6853
Cần Thơ,Vietnam,1121000.0,10.05,105.77
Barquisimeto,Venezuela,1116000.0,10.05,-69.3
Helsinki,Finland,1115000.0,60.1756,24.9341
Kazan’,Russia,1115000.0,55.7499,49.1263
Aurangābād,India,1113000.0,19.8957,75.3203
Calgary,Canada,1110000.0,51.083,-114.08
Ciudad Nezahualcóyotl,Mexico,1109363.0,19.41,-99.03
Zürich,Switzerland,1108000.0,47.38,8.55
Baoding,China,1107000.0,38.8704,115.48
Zigong,China,1105000.0,29.4,104.78
Sharjah,United Arab Emirates,1103027.0,25.3714,55.4065
Yerevan,Armenia,1102000.0,40.1812,44.5136
Mogadishu,Somalia,1100000.0,2.0667,45.3667
Tbilisi,Georgia,1100000.0,41.725,44.7908
Ankang,China,1100000.0,32.68,109.02
Huambo,Angola,1100000.0,-12.75,15.76
Ikare,Nigeria,1099931.0,7.5304,5.76
Belgrade,Serbia,1099000.0,44.8186,20.468
Salt Lake City,United States,1098400.0,40.7774,-111.93
Bhilai,India,1097000.0,21.2167,81.4333
Jinhua,China,1092852.0,29.12,119.65
Chelyabinsk,Russia,1091000.0,55.155,61.4387
Natal,Brazil,1088000.0,-5.78,-35.24
Dushanbe,Tajikistan,1086244.0,38.56,68.7739
Copenhagen,Denmark,1085000.0,55.6786,12.5635
Changwon,"Korea, South",1081499.0,35.2191,128.5836
Zhuzhou,China,1080000.0,27.83,113.15
Suwon,"Korea, South",1078000.0,37.2578,127.0109
Nashville,United States,1076645.0,36.1715,-86.7843
Vereeniging,South Africa,1074000.0,-26.6496,27.96
Xiangyang,China,1069000.0,32.02,112.13
Memphis,United States,1068873.0,35.1046,-89.9773
Ulsan,"Korea, South",1061000.0,35.5467,129.317
Amman,Jordan,1060000.0,31.95,35.9333
Mizhou,China,1060000.0,35.99,119.3801
Richmond,United States,1059907.0,37.5295,-77.4756
Dublin,Ireland,1059000.0,53.3331,-6.2489
Edmonton,Canada,1058000.0,53.55,-113.5
Solāpur,India,1057000.0,17.6704,75.9
Rostov-na-Donu,Russia,1052000.0,47.2346,39.7127
Dnipro,Ukraine,1050000.0,48.48,35.0
Xining,China,1048000.0,36.62,101.77
Zhangjiakou,China,1046000.0,40.83,114.93
Lille,France,1044000.0,50.65,3.08
Ranchi,India,1044000.0,23.37,85.33
Gaziantep,Turkey,1044000.0,37.075,37.385
Monrovia,Liberia,1041000.0,6.3106,-10.8048
São Luís,Brazil,1038000.0,-2.516,-44.266
Amsterdam,Netherlands,1031000.0,52.35,4.9166
Jerusalem,Israel,1029300.0,31.7784,35.2066
New Orleans,United States,1029123.0,30.0687,-89.9288
Guatemala City,Guatemala,1024000.0,14.6211,-90.527
Zhuhai,China,1023000.0,22.2769,113.5678
Florianópolis,Brazil,1023000.0,-27.58,-48.52
Port Elizabeth,South Africa,1021000.0,-33.97,25.6
Jiamusi,China,1020000.0,46.83,130.35
Port Harcourt,Nigeria,1020000.0,4.81,7.01
Raleigh,United States,1018336.0,35.8324,-78.6438
Ufa,Russia,1018000.0,54.79,56.04
Hengyang,China,1016000.0,26.88,112.59
Benxi,China,1012000.0,41.3304,123.75
Louisville,United States,1011696.0,38.1663,-85.6485
Haifa,Israel,1011000.0,32.8204,34.98
Medina,Saudi Arabia,1010000.0,24.5,39.58
Bucaramanga,Colombia,1009000.0,7.1301,-73.1259
Maracay,Venezuela,1007000.0,10.2469,-67.5958
Rotterdam,Netherlands,1005000.0,51.92,4.48
Homs,Syria,1005000.0,34.73,36.72
Cologne,Germany,1004000.0,50.93,6.95
Qinhuangdao,China,1003000.0,39.9304,119.62
Fès,Morocco,1002000.0,34.0546,-5.0004
N’Djamena,Chad,989000.0,12.1131,15.0491
Tegucigalpa,Honduras,946000.0,14.102,-87.2175
Kingston,Jamaica,937700.0,17.9771,-76.7674
Nay Pyi Taw,Burma,930000.0,19.7666,96.1186
Djibouti,Djibouti,923000.0,11.595,43.148
Managua,Nicaragua,920000.0,12.153,-86.2685
Niamey,Niger,915000.0,13.5167,2.1167
Tirana,Albania,895350.0,41.3275,19.8189
Kathmandu,Nepal,895000.0,27.7167,85.3166
Ulaanbaatar,Mongolia,885000.0,47.9167,106.9166
Kigali,Rwanda,860000.0,-1.9536,30.0605
Bishkek,Kyrgyzstan,837000.0,42.8731,74.5852
Oslo,Norway,835000.0,59.9167,10.75
Bangui,Central African Republic,831925.0,4.3666,18.5583
Freetown,Sierra Leone,827000.0,8.47,-13.2342
Islamabad,Pakistan,780000.0,33.7,73.1666
Cotonou,Benin,762000.0,6.4,2.52
Vientiane,Laos,754000.0,17.9667,102.6
Riga,Latvia,742572.0,56.95,24.1
Nouakchott,Mauritania,742144.0,18.0864,-15.9753
Muscat,Oman,734697.0,23.6133,58.5933
Ashgabat,Turkmenistan,727700.0,37.95,58.3833
Zagreb,Croatia,722526.0,45.8,16.0
Sarajevo,Bosnia And Herzegovina,696731.0,43.85,18.383
Chisinau,Moldova,688134.0,47.005,28.8577
Lilongwe,Malawi,646750.0,-13.9833,33.7833
Asmara,Eritrea,620802.0,15.3333,38.9333
Abu Dhabi,United Arab Emirates,603492.0,24.4667,54.3666
Port Louis,Mauritius,595491.0,-20.1666,57.5
Libreville,Gabon,578156.0,0.3854,9.458
Manama,Bahrain,563920.0,26.2361,50.5831
Vilnius,Lithuania,542366.0,54.6834,25.3166
Skopje,Macedonia,494087.0,42.0,21.4335
Bloemfontein,South Africa,463064.0,-29.12,26.2299
Bratislava,Slovakia,423737.0,48.15,17.117
Bissau,Guinea-Bissau,403339.0,11.865,-15.5984
Tallinn,Estonia,394024.0,59.4339,24.728
Wellington,New Zealand,393400.0,-41.3,174.7833
Valletta,Malta,368250.0,35.8997,14.5147
Maseru,Lesotho,361324.0,-29.3167,27.4833
Nur-Sultan,Kazakhstan,345604.0,51.1811,71.4278
Bujumbura,Burundi,331700.0,-3.3761,29.36
Canberra,Australia,327700.0,-35.283,149.129
New Delhi,India,317797.0,28.6,77.2
Ljubljana,Slovenia,314807.0,46.0553,14.515
Porto-Novo,Benin,300000.0,6.4833,2.6166
Bandar Seri Begawan,Brunei,296500.0,4.8833,114.9333
Port of Spain,Trinidad And Tobago,294934.0,10.652,-61.517
Port Moresby,Papua New Guinea,283733.0,-9.4647,147.1925
Bern,Switzerland,275329.0,46.9167,7.467
Windhoek,Namibia,268132.0,-22.57,17.0835
